episode_date,new_cases,cumulative_cases,max_episode_date,data_as_of,data_loaded_at
2022/05/29,1,1,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:05 AM
2022/05/30,1,2,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/05/31,0,2,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/01,1,3,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/02,1,4,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/03,0,4,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/04,0,4,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/05,2,6,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/06,1,7,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/07,2,9,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/08,1,10,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/09,0,10,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/10,2,12,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/11,2,14,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/12,0,14,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/13,1,15,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/14,1,16,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/15,1,17,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/16,2,19,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/17,7,26,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/18,0,26,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/19,3,29,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/20,2,31,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/21,3,34,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/22,2,36,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/23,6,42,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/24,4,46,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/25,6,52,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/26,6,58,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/27,10,68,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/28,11,79,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/29,5,84,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/06/30,4,88,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/01,9,97,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/02,12,109,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/03,7,116,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/04,11,127,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/05,11,138,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/06,16,154,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/07,13,167,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/08,11,178,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/09,10,188,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/10,9,197,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/11,11,208,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/12,12,220,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/13,12,232,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/14,15,247,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/15,13,260,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/16,9,269,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/17,6,275,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/18,12,287,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/19,14,301,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/20,13,314,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/21,10,324,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/22,16,340,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/23,13,353,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/24,9,362,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/25,26,388,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/26,20,408,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/27,31,439,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/28,26,465,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/29,13,478,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/30,20,498,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/07/31,7,505,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/01,23,528,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/02,12,540,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/03,12,552,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/04,20,572,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/05,14,586,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/06,4,590,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/07,6,596,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/08,21,617,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/09,16,633,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/10,12,645,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/11,7,652,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/12,10,662,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/13,9,671,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/14,3,674,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/15,7,681,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/16,8,689,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/17,9,698,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/18,10,708,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/19,4,712,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/20,8,720,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/21,3,723,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/22,5,728,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/23,4,732,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/24,10,742,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/25,4,746,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/26,3,749,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/27,6,755,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/28,2,757,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/29,4,761,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/30,1,762,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/08/31,2,764,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/01,7,771,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/02,3,774,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/03,1,775,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/04,2,777,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/05,0,777,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/06,1,778,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/07,4,782,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/08,2,784,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/09,4,788,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/10,0,788,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/11,0,788,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/12,5,793,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/13,1,794,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/14,1,795,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/15,2,797,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/16,0,797,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/17,3,800,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/18,1,801,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/19,2,803,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/20,1,804,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/21,1,805,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/22,0,805,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/23,1,806,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/24,3,809,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/25,1,810,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/26,1,811,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/27,1,812,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/28,3,815,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/29,3,818,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/09/30,2,820,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/01,3,823,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/02,1,824,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/03,1,825,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/04,1,826,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/05,1,827,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/06,0,827,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/07,1,828,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/08,1,829,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/09,0,829,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/10,0,829,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/11,0,829,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/12,1,830,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/13,0,830,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/14,1,831,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/15,0,831,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/16,0,831,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/17,0,831,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/18,1,832,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/19,1,833,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/20,1,834,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/21,0,834,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/22,0,834,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/23,0,834,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/24,0,834,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/25,0,834,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/26,0,834,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/27,0,834,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/28,0,834,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/29,0,834,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/30,0,834,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/10/31,0,834,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/01,0,834,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/02,2,836,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/03,0,836,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/04,1,837,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/05,0,837,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/06,0,837,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/07,1,838,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/08,0,838,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/09,0,838,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/10,0,838,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/11,0,838,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/12,0,838,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/13,0,838,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/14,0,838,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/15,0,838,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/16,0,838,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/17,1,839,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/18,0,839,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/19,0,839,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/20,0,839,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/21,0,839,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/22,0,839,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/23,0,839,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
2022/11/24,0,839,2022/11/24,11/29/2022 06:00:05 AM,11/29/2022 07:00:06 AM
